transaction_id,user_id,amount,hour,tx_count_1h,is_international,is_night,is_fraud
TX000001501,U000684,31.463063914049194,14,0,0,0,0
TX000002586,U000572,14.596077166731337,13,1,0,0,0
TX000002653,U000866,153.02182918452303,21,1,0,0,0
TX000001055,U000418,27.89302428844442,19,0,0,0,0
TX000000705,U000484,100.08401180591983,16,0,0,0,0
TX000000106,U000768,360.0294743202462,12,0,0,0,0
TX000000589,U000915,23.194523020313184,13,0,0,0,0
TX000002468,U000318,108.1294361958222,13,0,1,0,0
TX000002413,U000053,21.812804919572397,13,0,0,0,0
TX000001600,U000202,45.472309528069395,13,0,0,0,0
TX000002464,U000857,130.210980829873,17,0,0,0,0
TX000000228,U000265,26.700873780710513,10,0,1,0,0
TX000000915,U000837,72.16978916908795,16,1,1,0,0
TX000000794,U000116,18.521708185293075,21,0,1,0,0
TX000003021,U000217,34.35812883278965,18,0,0,0,0
TX000003543,U000451,18.590002254630456,21,0,0,0,0
TX000001073,U000925,15.134967207602347,10,0,1,0,0
TX000003351,U000675,38.826077549217125,12,0,0,0,0
TX000001744,U000820,21.59899672747764,9,0,0,0,0
TX000001084,U000895,79.99270573717311,19,1,0,0,0
TX000000926,U000781,31.22060060493304,18,0,0,0,0
TX000003049,U000606,180.77387189235588,14,0,0,0,0
TX000001117,U000201,51.54118531726251,14,1,0,0,0
TX000000642,U000700,42.1151969668014,16,0,0,0,0
TX000004767,U000551,42.40374759064286,21,0,0,0,0
TX000000501,U000711,368.49112988456983,20,0,0,0,0
TX000004066,U000636,65.978458823638,16,0,0,0,0
TX000000333,U000013,27.738970132815112,14,0,0,0,0
TX000004684,U000332,19.35467372390972,14,0,1,0,0
TX000000486,U000032,28.60058338679558,17,2,0,0,0
TX000001962,U000706,91.93873473054185,10,1,0,0,0
TX000000393,U000153,340.85554500843205,20,0,1,0,0
TX000004842,U000360,108.37416672925528,12,0,0,0,0
TX000004866,U000073,66.08333018095108,14,1,0,0,0
TX000001755,U000836,215.6503929295605,12,0,0,0,0
TX000002515,U000987,75.78341916228469,21,2,0,0,0
TX000003585,U000256,14.976650797128679,20,1,0,0,0
TX000004315,U000206,149.29504440486033,21,1,0,0,0
TX000004966,U000780,150.65584833213302,3,4,1,1,1
TX000002099,U000805,123.70375789318823,16,1,0,0,0
TX000003599,U000020,43.489683108531615,18,0,1,0,0
TX000004121,U000811,47.59315908517425,11,1,1,0,0
TX000000029,U000632,40.78466896802213,11,0,0,0,0
TX000000065,U000455,211.92660853303565,9,0,0,0,0
TX000000838,U000538,146.1045408176451,21,0,0,0,0
TX000003906,U000182,205.49713846505452,20,0,1,0,0
TX000003773,U000505,25.54130338837419,19,0,0,0,0
TX000004635,U000593,2.961642491404622,19,2,0,0,0
TX000003161,U000560,86.13399759016353,10,0,0,0,0
TX000002659,U000944,94.94057978721175,20,3,0,0,0
TX000004615,U000070,40.05887656407013,16,0,0,0,0
TX000004628,U000216,163.378551081298,16,1,0,0,0
TX000002451,U000359,23.764141664186546,14,1,0,0,0
TX000002846,U000223,30.29955946380575,18,1,1,0,0
TX000001144,U000907,45.921259313792746,13,0,0,0,0
TX000003078,U000527,68.99433876541231,17,0,0,0,0
TX000001103,U000953,47.484833809909325,20,1,0,0,0
TX000000168,U000337,42.71763719417129,9,0,0,0,0
TX000001670,U000717,42.99431513669995,16,0,0,0,0
TX000002570,U000391,56.72630266454147,11,0,1,0,0
TX000002377,U000575,14.497153414577822,11,0,0,0,0
TX000004395,U000695,14.048034042072237,13,0,0,0,0
TX000004257,U000547,226.8969208656282,11,1,0,0,0
TX000003862,U000753,54.214858585523636,11,2,0,0,0
TX000000023,U000434,13.134624221550554,13,1,1,0,0
TX000002633,U000136,74.53797100347812,14,0,0,0,0
TX000003340,U000548,110.61756740982746,17,1,0,0,0
TX000002215,U000247,71.22744656863742,17,0,1,0,0
TX000003682,U000018,65.28058792442135,21,0,0,0,0
TX000004724,U000342,50.3542317515699,21,3,1,0,0
TX000001907,U000278,17.694122655746263,9,2,0,0,0
TX000000084,U000882,24.3250430318082,10,1,0,0,0
TX000000227,U000886,18.583149366650797,17,1,0,0,0
TX000000296,U000555,134.23605779346119,19,0,0,0,0
TX000001001,U000949,137.63891292130037,10,0,0,0,0
TX000002138,U000639,15.813957313285727,9,0,1,0,0
TX000000711,U000093,49.56509658467098,14,1,0,0,0
TX000002801,U000884,806.7660004704861,14,1,0,0,0
TX000002527,U000764,100.1681819902984,21,0,0,0,0
TX000003752,U000012,191.10874936622355,11,0,0,0,0
TX000003321,U000965,22.107827034161893,18,0,0,0,0
TX000003181,U000946,92.03257090161318,12,1,0,0,0
TX000004183,U000493,30.4197584585869,13,0,0,0,0
TX000001615,U000188,1330.2305710004266,17,0,0,0,0
TX000003024,U000488,8.417040654840639,15,2,0,0,0
TX000001413,U000981,475.8022586432944,12,1,0,0,0
TX000000763,U000666,49.59748368443687,18,0,0,0,0
TX000000655,U000129,57.92901803144473,10,0,1,0,0
TX000004797,U000390,7.772782782115609,11,0,0,0,0
TX000003849,U000871,13.02470821508036,10,0,0,0,0
TX000004153,U000612,25.869811634279884,17,0,0,0,0
TX000000468,U000900,32.120641227946976,20,0,0,0,0
TX000000157,U000922,87.69219693565861,21,4,1,0,0
TX000001295,U000461,49.45733342191824,15,2,0,0,0
TX000000497,U000727,45.135149991358986,13,0,0,0,0
TX000004740,U000666,91.73199064685869,15,0,0,0,0
TX000002940,U000522,147.90504951978932,17,2,0,0,0
TX000003456,U000532,162.1901892299526,16,1,0,0,0
TX000000373,U000224,142.48985811957292,14,1,0,0,0
TX000000079,U000250,7.481483381794714,19,1,0,0,0
TX000001553,U000749,23.88187124887761,12,0,0,0,0
TX000001669,U000732,94.32380230186251,9,2,0,0,0
TX000002131,U000578,55.67975732859336,10,0,0,0,0
TX000004439,U000391,90.03000765196497,18,1,0,0,0
TX000000465,U000340,43.773578311544284,11,0,0,0,0
TX000000248,U000614,319.08395190626715,18,0,0,0,0
TX000000931,U000217,358.22349145964154,18,0,1,0,0
TX000001335,U000223,38.974751104032975,12,1,0,0,0
TX000004524,U000841,177.7055867236487,13,0,0,0,0
TX000001338,U000386,37.03351011167928,13,1,0,0,0
TX000001406,U000776,13.173264160955473,19,1,0,0,0
TX000001090,U000831,50.82552762069893,18,0,0,0,0
TX000004209,U000617,17.706752058846362,11,0,0,0,0
TX000000742,U000645,29.22958619911456,13,0,0,0,0
TX000002323,U000720,291.3404263259231,12,0,0,0,0
TX000003601,U000997,26.599450257180923,16,1,0,0,0
TX000002123,U000251,41.9764678002484,21,1,0,0,0
TX000002094,U000772,154.33287372968195,15,0,0,0,0
TX000000240,U000065,24.71670328817925,21,2,0,0,0
TX000002351,U000279,101.19060833941515,9,0,0,0,0
TX000001370,U000486,45.927034934777275,16,1,0,0,0
TX000001057,U000317,176.39556812680328,16,2,0,0,0
TX000004816,U000310,204.46851643830635,11,0,0,0,0
TX000000199,U000955,17.409737953429463,16,2,0,0,0
TX000002280,U000317,9.720074384888804,11,0,0,0,0
TX000004749,U000055,60.208485232811235,21,1,0,0,0
TX000002220,U000146,38.15511588596063,17,1,0,0,0
TX000004771,U000641,20.59798847281757,9,1,0,0,0
TX000002819,U000323,7.943288995453196,10,0,0,0,0
TX000003150,U000643,126.72047740405462,11,1,0,0,0
TX000004256,U000798,23.663596341310587,13,0,0,0,0
TX000003107,U000200,96.77515626387648,12,1,0,0,0
TX000001973,U000318,66.3362294211579,11,0,0,0,0
TX000001375,U000297,44.286342014665856,10,0,1,0,0
TX000003968,U000216,409.63851925788055,20,0,0,0,0
TX000004062,U000918,21.096122805696005,21,0,0,0,0
TX000004445,U000739,25.499140104179087,10,0,0,0,0
TX000003557,U000289,61.74902597232694,16,0,0,0,0
TX000000964,U000500,49.912142294537645,9,0,0,0,0
TX000000179,U000291,828.9577315732464,18,0,0,0,0
TX000003698,U000500,138.81305118200336,12,0,0,0,0
TX000003821,U000240,71.47121295259475,19,0,0,0,0
TX000004878,U000035,27.622199107681077,11,1,0,0,0
TX000003899,U000847,79.80926882387854,13,0,0,0,0
TX000004487,U000402,30.633041781166867,20,0,0,0,0
TX000003238,U000678,65.6744837446117,13,0,1,0,0
TX000002974,U000293,135.82437924546483,20,1,0,0,0
TX000003580,U000359,457.0402233101432,11,1,0,0,0
TX000002887,U000754,218.83932356941153,10,0,1,0,0
TX000002575,U000031,17.957951084759227,17,1,0,0,0
TX000001419,U000483,90.72525431981364,13,1,0,0,0
TX000003907,U000105,13.372294480685825,18,0,0,0,0
TX000004673,U000043,19.00861551446326,14,0,0,0,0
TX000004902,U000117,35.16060227371082,4,3,1,1,1
TX000001860,U000305,47.73625912649378,21,0,0,0,0
TX000000008,U000072,34.141908366630645,20,1,0,0,0
TX000002894,U000284,90.76453627664532,12,0,0,0,0
TX000002847,U000398,23.635210463642096,11,1,0,0,0
TX000003664,U000069,179.9601010373904,9,0,0,0,0
TX000000144,U000410,70.80168460329274,16,0,0,0,0
TX000002104,U000291,16.619689503163656,16,1,0,0,0
TX000003143,U000847,29.879700721967275,18,0,0,0,0
TX000000841,U000528,107.21321252056762,14,1,0,0,0
